id,condition,target,sentence,meaningfulness_M,meaningfulness_SD,probability_M,probability_SD,stereotypicality_M,stereotypicality_SD,length,target_stereotypicality,target_sentence_position,target_inflection
92,sei,laundry,The dish needed some laundry and more pepper.,1.7,0.95,,,,,8,F,5,laundry
93,sei,flower,The poet wrote a flower that amazed everybody.,1.79,1.24,,,,,8,F,5,flower
94,sei,lipstick,The students wrote a lipstick and a poem.,1.73,1.31,,,,,8,F,5,lipstick
95,sei,skirt,The couple loves eating skirts and sweet cakes.,2.17,1.69,,,,,8,F,5,skirts
96,sei,butterfly,This novel is the best butterfly of previous weeks.,1.24,0.51,,,,,9,F,6,butterfly
97,sei,hairspray,The nobles respect the elected hairspray and remain loyal.,1.45,0.91,,,,,9,F,6,hairspray
98,sei,caretaker,The kids baked a delicious caretaker without any sugar.,1.62,0.98,,,,,9,F,6,caretaker
99,sei,lullaby,The friends have drunk some lullabies at the party.,1.79,1.32,,,,,9,F,6,lullabies
100,sei,outfit,The president summoned a monthly outfit a week earlier.,2.38,1.47,,,,,9,F,6,outfit
101,sei,bracelet,The dessert was prepared by a bracelet specialising in cheesecakes.,1.48,0.63,,,,,10,F,7,bracelet
102,sei,dancer,They opened the door of the dancer and went inside.,2.1,1.65,,,,,10,F,7,dancer
103,sei,hairstyle,Yesterday this TV series won a hairstyle at the gala.,2,1.56,,,,,10,F,7,hairstyle
104,sei,wardrobe,The operation was conducted by a wardrobe and an anaesthesiologist.,1.66,0.77,,,,,10,F,7,wardrobe
105,sei,hairdryer,This piece of clothing is a hairdryer made from silk.,1.69,0.66,,,,,10,F,7,hairdryer
106,sei,engine,The teenagers ate an engine with some potatoes.,1.55,0.74,,,,,8,M,5,engine
107,sei,hammer,Many students failed their hammer despite working hard.,1.55,0.69,,,,,8,M,5,hammer
108,sei,moustache,Astronauts travel in a moustache and space shuttles.,1.62,0.82,,,,,8,M,5,moustache
109,sei,fishing,Making good coffee requires fishing and good roasting.,2.17,1.42,,,,,8,M,5,fishing
110,sei,rapist,The inventors patented their rapist in this country.,1.38,0.56,,,,,8,M,5,rapist
111,sei,barbecue,It is addressed to a barbecue living next door.,1.72,1.1,,,,,9,M,6,barbecue
112,sei,plumber,The bride walked down the plumber and fell down.,1.52,0.74,,,,,9,M,6,plumber
113,sei,builder,These fish live in deep builders and eat plants.,1.69,0.81,,,,,9,M,6,builders
114,sei,trousers,Last week they planted some trousers and fruit trees.,1.66,0.86,,,,,9,M,6,trousers
115,sei,butcher,Pizza dough includes a fresh butcher and some salt.,1.62,0.56,,,,,9,M,6,butcher
116,sei,wallet,For dinner they prepared a tasty wallet and a salad.,1.52,0.78,,,,,10,M,7,wallet
117,sei,brick,The director held a meeting with bricks working in finances.,1.9,1.45,,,,,10,M,7,bricks
118,sei,inventor,The students wrote a lengthy argumentative inventor in two hours.,1.8,1.32,,,,,10,M,7,inventor
119,sei,offender,The teenager took up a new offender to keep fit.,1.55,0.78,,,,,10,M,7,offender
120,sei,toolbox,The holidaymakers were sunbathing at the toolbox in southern France.,1.59,0.87,,,,,10,M,7,toolbox
